stop_id,stop_code,stop_name,stop_lat,stop_lon
1,911913,"BRZEZINA - pętla",51.2031486200,16.8264246500
3,18717,"Janówek",51.1980830000,16.9058919700
4,911905,"GAŁÓW",51.1117578900,16.8109455400
15,12525,"Metalowców",51.1338260900,16.9567351200
16,12526,"Metalowców",51.1330889400,16.9592179100
17,812987,"ZABRODZIE",51.0567887900,16.9454119800
18,723975,"BIELANY WROCŁAWSKIE",51.0327015600,16.9677890500
19,16524,"Wojszycka",51.0677188700,17.0143228000
26,25114,"KSIĘŻE MAŁE",51.0778430800,17.0836356900
27,25113,"KSIĘŻE MAŁE",51.0769998000,17.0844074000
29,21101,"Dyrekcyjna",51.0943013600,17.0322290900
30,10381,"pl. Orląt Lwowskich",51.1071331900,17.0193938800
31,20362,"DWORZEC GŁ. PKP",51.0991877800,17.0343344100
32,20345,"DWORCOWA",51.1002777300,17.0392014900
33,20312,"pl. Wróblewskiego",51.1053429000,17.0489335300
35,20332,"Krasińskiego",51.1058589600,17.0433408200
36,20303,"Urząd Wojewódzki",51.1104499100,17.0485819200
38,10551,"DW. ŚWIEBODZKI",51.1084941300,17.0176683400
40,12102,"Wrocławski Park Przemysłowy",51.1125666800,16.9942315400
41,12104,"Dolnośląska Szkoła Wyższa",51.1124757900,16.9887106800
42,12103,"Dolnośląska Szkoła Wyższa",51.1136238500,16.9905764300
43,20923,"PL. GRUNWALDZKI",51.1121887500,17.0633575100
44,23541,"POŚWIĘCKA (Ośrodek zdrowia)",51.1564994400,17.0320980700
46,227911,"KRZYŻANOWICE",51.1740924200,17.0488776800
47,23724,"Bagatela",51.1522133200,17.0700590100
50,29517,"KŁOKOCZYCE",51.1569605300,17.0962815100
51,29535,"Pawłowice",51.1655438200,17.1063972500
52,29537,"Starodębowa",51.1673054900,17.1059007000
54,29536,"Malwowa",51.1669278700,17.1099854200
55,29507,"ZAKRZÓW",51.1624766000,17.1251204200
57,326945,"PIECOWICE",51.1443430600,17.2175976500
58,911911,"Brzezina",51.2014801200,16.8348830200
59,911912,"Brzezina",51.2015478600,16.8347309700
61,18355,"Dolnobrzeska",51.1550175700,16.8594144100
62,18356,"Dolnobrzeska",51.1550096700,16.8590301600
63,18354,"Brzezińska",51.1494385600,16.8666212800
64,18344,"Mokrzańska",51.1473094900,16.8541876400
65,18343,"Mokrzańska",51.1475429900,16.8531224500
66,911923,"Wilkszyn - Polna",51.1890301900,16.8661903600
67,911922,"Miłoszyn",51.1831668000,16.8720382700
68,911921,"Miłoszyn",51.1842299100,16.8711127700
69,18726,"Krzelowska",51.1774615200,16.8786003600
70,18725,"Krzelowska",51.1778574000,16.8781669900
71,18724,"Wilkszyńska",51.1736440100,16.8862201500
72,18732,"Marszowice",51.1668650200,16.8901242700
73,18721,"Marszowice",51.1674065000,16.8911978100
74,18722,"Marszowice",51.1678519500,16.8904964100
75,18734,"Bojanowska",51.1651292500,16.8813582900
76,18733,"Bojanowska",51.1653264500,16.8818990400
77,18374,"Polkowicka",51.1552629200,16.8730698200
78,18373,"Polkowicka",51.1554325000,16.8734630700
79,18371,"Wolska",51.1465663500,16.8693090800
80,18372,"Wolska",51.1465085500,16.8690965500
81,18129,"Park Stabłowicki",51.1596774500,16.8936900200
82,18130,"Park Stabłowicki",51.1601889800,16.8937057100
83,18127,"Stabłowice",51.1559262300,16.8911354900
84,18128,"Stabłowice",51.1564929900,16.8913875000
85,18125,"Ciechocińska",51.1534708300,16.8850205300
86,18126,"Ciechocińska",51.1539913200,16.8855095600
87,18123,"Śnieżna",51.1496842800,16.8793580400
88,18124,"Śnieżna",51.1495061000,16.8789305100
89,18121,"Jeleniogórska",51.1456283400,16.8760243800
90,18122,"Jeleniogórska",51.1463339100,16.8763782900
91,18707,"Główna",51.1636348700,16.8966882100
92,18712,"PRACZE ODRZAŃSKIE (Stacja kolejowa)",51.1713957000,16.9024931000
93,18711,"PRACZE ODRZAŃSKIE (Stacja kolejowa)",51.1721498500,16.9033906600
94,18710,"STABŁOWICKA (Ośrodek zdrowia)",51.1668332600,16.8985987100
95,18709,"STABŁOWICKA (Ośrodek zdrowia)",51.1674958900,16.8992412400
96,18703,"Wełniana",51.1611804100,16.9044891100
97,18701,"Chwałkowska",51.1597972000,16.9101406700
98,18702,"Chwałkowska",51.1595240700,16.9107602900
99,18514,"Lubelska",51.1634860400,16.9192652800
100,18513,"Lubelska",51.1639163100,16.9191472700
101,18718,"Zbożowa",51.1735297900,16.9121521600
102,18719,"Zbożowa",51.1737389600,16.9115269100
103,18716,"JANÓWEK (WOŚ)",51.1917403100,16.9060830700
104,18715,"JANÓWEK (WOŚ)",51.1917211000,16.9063005900
105,18508,"Północna",51.1570317500,16.9344602800
106,18507,"Północna",51.1575562100,16.9335171300
107,18509,"Kozia",51.1576890900,16.9276646100
108,18510,"Kozia",51.1575170200,16.9266805100
109,18505,"Maślice Małe",51.1529305700,16.9401113700
110,18506,"Maślice Małe",51.1533120800,16.9395463900
111,18503,"Maślicka",51.1491117300,16.9453108400
112,18523,"Turoszowska",51.1530520600,16.9476315600
113,18536,"Dworska",51.1436063900,16.9534481200
114,12708,"Górnicza",51.1399021200,16.9594143300
115,12707,"Górnicza",51.1406265500,16.9582568900
116,12731,"Górnicza",51.1405898600,16.9592038200
119,12704,"Modra",51.1362553500,16.9667695100
120,12720,"KOZANÓW",51.1374775400,16.9683083100
122,12716,"Dzielna",51.1386343100,16.9768901400
123,12715,"Dzielna",51.1388593600,16.9747484300
124,12713,"Wiślańska",51.1359184100,16.9790481300
125,12711,"Kolista",51.1327370900,16.9738810400
127,12702,"Kolista",51.1326958400,16.9726114500
128,12701,"Kolista",51.1332096600,16.9722292900
129,12503,"Metalowców",51.1327474000,16.9582917200
132,18104,"Grabowa",51.1397849700,16.9222746600
133,18103,"Grabowa",51.1400562100,16.9209472000
134,18102,"Glinianki",51.1381194700,16.9362835200
135,18101,"Glinianki",51.1385060900,16.9344320800
138,18142,"Złotnicka",51.1436261400,16.8893468900
139,18141,"Złotnicka",51.1432805300,16.8890339000
140,18342,"LEŚNICA - Hermes",51.1458711500,16.8663056000
141,18341,"LEŚNICA - Hermes",51.1460950500,16.8656923700
142,18312,"Średzka",51.1453562200,16.8666079400
143,18311,"Średzka",51.1452856500,16.8663489400
144,18314,"TRZMIELOWICKA (Stacja kolejowa)",51.1427507300,16.8625212500
145,18313,"TRZMIELOWICKA (Stacja kolejowa)",51.1433995100,16.8638031000
146,18316,"Trzmielowicka",51.1409576600,16.8546078700
147,18315,"Trzmielowicka",51.1417087200,16.8553300100
148,18318,"Miodowa",51.1351482500,16.8487416100
149,18317,"Miodowa",51.1355576700,16.8489406600
150,18320,"Szkolna",51.1316081900,16.8481725900
151,18319,"Szkolna",51.1325609400,16.8481176300
153,98325,"RATYŃ",51.1297596400,16.8604872400
154,18324,"Gromadzka",51.1292442500,16.8538707900
155,18323,"Gromadzka",51.1292307400,16.8548804800
156,18333,"Las Ratyński",51.1235167000,16.8330710000
157,911901,"Gałów - ferma",51.1180359700,16.8253844800
158,911902,"Gałów - ferma",51.1182113800,16.8257798900
159,911904,"Gałów - PGR",51.1112640300,16.8163401100
160,17717,"Kośnego",51.1207106000,16.8640121100
161,17718,"Kośnego",51.1204467700,16.8631401000
162,17728,"JERZMANOWO (Cmentarz II)",51.1231926300,16.8827889600
163,17711,"JERZMANOWO (Cmentarz I)",51.1236229900,16.8837995500
164,17714,"Jerzmanowo",51.1208448000,16.8766394500
165,17713,"Jerzmanowo",51.1209893100,16.8766318900
166,17716,"Adamczewskich",51.1208439600,16.8695348600
167,17715,"Adamczewskich",51.1209533900,16.8695615700
171,17733,"Gałowska",51.1132364400,16.8450913800
172,17734,"Gałowska",51.1135177200,16.8452426300
175,17707,"Jerzmanowska",51.1260826600,16.9098917700
176,17708,"Jerzmanowska",51.1261206400,16.9089938100
177,17705,"Strachowicka",51.1235147500,16.9190698800
178,17706,"Strachowicka",51.1236751000,16.9168737800
179,17703,"Żerniki",51.1236331100,16.9229511900
180,17704,"Żerniki",51.1230927200,16.9248345000
181,17702,"Szczecińska",51.1224508500,16.9309962300
182,17701,"Szczecińska",51.1225505800,16.9307786400
183,12128,"Kołobrzeska",51.1210305500,16.9454134200
184,12127,"Kołobrzeska",51.1211968500,16.9449610800
185,18143,"Wielkopolska",51.1405879400,16.8875703200
186,18144,"Wielkopolska",51.1411474200,16.8869030800
187,18146,"Złotniki",51.1389365300,16.8934000800
188,18145,"Złotniki",51.1395055500,16.8916672700
191,18109,"Wschowska",51.1451622300,16.8802209200
192,12502,"Park Zachodni",51.1287913400,16.9728665600
193,12501,"Park Zachodni",51.1298533300,16.9709380000
194,12524,"METALOWCÓW (Ośrodek sportu)",51.1298659200,16.9549646700
195,12911,"KUŹNIKI",51.1238390200,16.9499502300
198,12541,"Bystrzycka",51.1240566300,16.9580712800
199,12542,"Bystrzycka",51.1233331100,16.9587513000
200,12517,"Hynka",51.1224620800,16.9621544900
201,12518,"Hynka",51.1223775500,16.9616045600
202,12516,"Drzewieckiego",51.1215805200,16.9679089200
203,12515,"Drzewieckiego",51.1217958200,16.9677468300
204,12511,"Na Ostatnim Groszu",51.1231804900,16.9750780800
205,12512,"Na Ostatnim Groszu",51.1233898900,16.9765406800
206,12513,"Orlińskiego",51.1221205200,16.9719204400
207,12514,"Orlińskiego",51.1225167500,16.9729111300
208,12316,"Wejherowska",51.1294515200,16.9866403700
209,12317,"Wejherowska",51.1291718500,16.9853284800
210,12315,"Wejherowska",51.1298272000,16.9851259800
211,12304,"Kwiska",51.1247132700,16.9844113400
212,12303,"Kwiska",51.1255823700,16.9834199800
214,12314,"Rysia",51.1279101700,16.9905910900
215,12313,"Rysia",51.1285206700,16.9899350800
216,12312,"Popowice",51.1260430400,16.9966930700
217,12311,"Popowice",51.1263766400,16.9952899900
218,10518,"DŁUGA (Politechnika)",51.1236143100,17.0109206500
219,10517,"DŁUGA (Politechnika)",51.1252886200,17.0100183300
222,10519,"POPOWICE (Stacja kolejowa)",51.1260957700,17.0035840400
223,10520,"POPOWICE (Stacja kolejowa)",51.1258924200,17.0028523700
226,10516,"Poznańska",51.1211119100,17.0119443000
227,10525,"Długa",51.1190835700,17.0152833600
228,10524,"Długa",51.1188833900,17.0148667100
229,10514,"Szczepin",51.1170944100,17.0079669000
230,10513,"Szczepin",51.1177204600,17.0075345100
231,10510,"Głogowska",51.1174262400,17.0035309700
232,10509,"Głogowska",51.1176959900,17.0040245600
233,10507,"ZACHODNIA (Stacja kolejowa)",51.1160249300,17.0012958900
234,10508,"ZACHODNIA (Stacja kolejowa)",51.1160666300,17.0004452200
235,10511,"Inowrocławska",51.1154377400,17.0152886900
236,10512,"Inowrocławska",51.1155868600,17.0139613900
239,10504,"Młodych Techników",51.1125973900,17.0121382000
240,10502,"PL. JANA PAWŁA II",51.1117500700,17.0204681500
241,10534,"PL. JANA PAWŁA II",51.1112182800,17.0214086700
242,10501,"PL. JANA PAWŁA II",51.1121544100,17.0207247200
243,10541,"DW. ŚWIEBODZKI",51.1085806700,17.0180662400
244,10542,"DW. ŚWIEBODZKI",51.1085111000,17.0188265300
246,10546,"Śrubowa",51.1112815600,17.0030202800
247,10548,"Śrubowa",51.1124317600,17.0010101300
248,10545,"Śrubowa",51.1119080700,17.0001085800
249,12105,"Wyższa Szkoła Bankowa",51.1142409800,16.9780381500
250,12106,"Wyższa Szkoła Bankowa",51.1141454600,16.9793515300
251,12122,"Nowy Dwór",51.1125872800,16.9599295600
255,12109,"Nowy Dwór",51.1124566500,16.9607992200
256,12110,"Nowy Dwór",51.1123561600,16.9608058600
257,12134,"Zemska",51.1153903100,16.9473666400
258,12133,"Zemska",51.1164239600,16.9467466100
259,12124,"Chociebuska",51.1146730400,16.9580598300
260,12123,"Chociebuska",51.1157845300,16.9585619300
261,12125,"Nowy Dwór (Rogowska)",51.1186231100,16.9548696300
262,12126,"Nowy Dwór (Rogowska)",51.1186519500,16.9537881200
265,17504,"Zagłoby",51.1095419000,16.9302482300
266,17503,"Zagłoby",51.1098037400,16.9280002300
267,17502,"Park Tysiąclecia",51.1087356100,16.9432753000
268,17501,"Park Tysiąclecia",51.1092177700,16.9415729200
269,17508,"Graniczna",51.1083600200,16.9100751600
271,17303,"Muchobór Wielki",51.0988644700,16.9412746000
272,17305,"Stanisławowska",51.0968383300,16.9468478100
273,17306,"Stanisławowska",51.0969461700,16.9468979100
274,17307,"Krzemieniecka",51.0963781000,16.9569500200
275,17308,"Krzemieniecka",51.0967339800,16.9548996900
276,17309,"Końcowa",51.0958214900,16.9624517200
277,17310,"Końcowa",51.0959813500,16.9621510700
278,11714,"Ostrowskiego",51.0951126700,16.9732223600
279,11713,"Ostrowskiego",51.0952951700,16.9728792200
281,11712,"FAT",51.0941263200,16.9783528000
282,11727,"Aleja Pracy",51.0912815800,16.9865558100
283,11724,"Aleja Pracy",51.0922586200,16.9864164100
284,11723,"Aleja Pracy",51.0918696000,16.9853733400
285,11744,"Ojca Beyzyma",51.0903377300,16.9921321400
286,11743,"Ojca Beyzyma",51.0906467900,16.9922862000
287,11746,"Ślusarska",51.0841596000,16.9903802000
288,11745,"Ślusarska",51.0847614100,16.9905185000
289,11747,"BLACHARSKA",51.0821011300,16.9896025300
291,11701,"Bzowa",51.0975086400,16.9913099400
292,11702,"Bzowa",51.0976554000,16.9930907400
293,11703,"Hutmen",51.0959695900,16.9853453800
294,11704,"Hutmen",51.0960276600,16.9863183300
295,11525,"KOLBUSZOWSKA (Stadion)",51.0940238500,16.9972875400
296,11526,"KOLBUSZOWSKA (Stadion)",51.0939672200,16.9968875900
297,11523,"Pretficza",51.0934121100,17.0037653100
298,11524,"Pretficza",51.0932560600,17.0024924700
299,11722,"Inżynierska",51.0945401200,16.9919639100
300,11721,"Inżynierska",51.0947688200,16.9911838000
301,111403,"Stalowa",51.0996909100,17.0014907300
302,11513,"Grochowa",51.0962177400,17.0058089100
303,11514,"Grochowa",51.0971763900,17.0040351300
304,10386,"Grabiszyńska",51.1012382500,17.0137498600
305,10385,"Grabiszyńska",51.1015952500,17.0131843500
306,11536,"Krucza",51.0921559300,17.0084854600
307,11522,"Krucza",51.0934228300,17.0083676000
308,11521,"Krucza",51.0935887800,17.0099333100
309,11511,"Krucza",51.0944236000,17.0107815500
310,11535,"Krucza",51.0941305200,17.0095389000
311,11512,"Krucza",51.0950533500,17.0086204000
312,11541,"Zaporoska",51.0965397500,17.0145216700
313,11532,"Zaporoska",51.0969611100,17.0156446500
314,11531,"Zaporoska",51.0969778600,17.0135578800
315,11542,"Zaporoska",51.0978994000,17.0146602800
316,11336,"Pl. Hirszfelda",51.0938214700,17.0179590500
317,11335,"Pl. Hirszfelda",51.0944897700,17.0163348100
318,11346,"Rondo",51.0916681300,17.0158075500
